Title,Author,Citation,Issue,Type ,Description,Year
"United States Supreme Court Records and Briefs: A Union List, with a Note on Their Distribution and Microfilming","Hallam, H. C.;Hudon, Edward G.",40 Law Libr. J. 82 (1947),Issue 2,misc,,1947
Formulation of the Interpretations to the Library Requirements of the Association of American Law Schools,"Roalfe, William R.",40 Law Libr. J. 229 (1947),Issue 4,article,,1947
Noting Up British Statutes and Cases,"Price, Miles O.",40 Law Libr. J. 251 (1947),Issue 4,article,,1947
"Anglo-American Legal Periodicals: Births, Deaths, and Changes Since November 1946","Gee, Pauline E.",40 Law Libr. J. 282 (1947),Issue 4,index,,1947
Historical and Bibliographical Notes on the Sheets of New Hampshire Statutes,"Sawyer, William H.",41 Law Libr. J. 1 (1948),Issue 1,notes,,1948
The Northampton Law School,"Forgeus, Elizabeth",41 Law Libr. J. 11 (1948),Issue 1,comments,,1948
William Sanders Johnston as I Knew Him Including a Brief Biographical Sketch 1871-1947,"Di Canio, Frank",41 Law Libr. J. 15 (1948),Issue 1,comments,,1948
State Documents Microfilms as Research Resources for Law Libraries,"Jenkins, William S.",41 Law Libr. J. 77 (1948),Issue 2,article,,1948
Law Libraries in the Survey of the Legal Profession,"James, Eldon R.",41 Law Libr. J. 104 (1948),Issue 2,notes,,1948
Citation Books for United States Treaties,"Price, Miles O.",41 Law Libr. J. 347 (1948),Issue 4,article,,1948
The Tax Court of the United States,"Turner, Bolon B.",41 Law Libr. J. 371 (1948),Issue 4,comments,,1948
Enough Fathom-Long Swine,"Stevens, Mary Helen",42 Law Libr. J. 1 (1949),Issue 1,article,,1949
Administrative Law and the Expansion of Class K at New York University,"Marke, Julius J.",42 Law Libr. J. 12 (1949),Issue 1,article,,1949
"Bibliographical Notes on United States Patent, Trade-Mark, and Copyright Law","Price, Miles O.",42 Law Libr. J. 47 (1949),Issue 2,notes,,1949
Legislative Councils,"Guild, Frederic H.",42 Law Libr. J. 60 (1949),Issue 2,article,,1949
"Eldon Revare James, An Appreciation","Pound, Roscoe",42 Law Libr. J. 76 (1949),Issue 2,misc,Dedication,1949
Louisiana's Civil Law Heritage,"Oppenheim, Leonard",42 Law Libr. J. 249 (1949),Issue 4,article,,1949
Klassification,"Gardner, Dillard S.",42 Law Libr. J. 255 (1949),Issue 4,comments,,1949
Clements Library,"Storm, Colton",42 Law Libr. J. 258 (1949),Issue 4,comments,,1949
The Harvard Law School Library,"Pulling, Arthur C. ",43 Law Libr. J. 1 (1950),Issue 1,article,,1950
Law Librarian I Never Met,"McKavitt, Matthew A.",43 Law Libr. J. 12 (1950),Issue 1,article,,1950
The Need for a Bibliography of English Legal Manuscripts,"Rogers, Ralph V.",43 Law Libr. J. 45 (1950),Issue 2,article,,1950
Cataloging and Classification of Law in South American Libraries-A Report,"Ellinger, Werner B.",43 Law Libr. J. 52 (1950),Issue 2,misc,,1950
Reflections on Klassification or the Quest of an Ideal,"Jeffrey, William B. Jr.",43 Law Libr. J. 58 (1950),Issue 2,article,,1950
Klassification Again,"Gardner, Dillard S.",43 Law Libr. J. 64 (1950),Issue 2,comments,,1950
International Documentation and Treaty Problems,"Zagayko, Florence Ferner",43 Law Libr. J. 85 (1950),Issue 3,article,,1950
Preface to Pre-Trial Bibliography,"Speck, William H.",43 Law Libr. J. 99 (1950),Issue 3,comments,,1950
The Code of Federal Regulations and the United States Statutes at Large,"Kennedy, Bernard",44 Law Libr. J. 1 (1951),Issue 1,comments,,1951
Legal Research without Books,"Merryman, John Henry",44 Law Libr. J. 7 (1951),Issue 1,comments,,1951
A Bibliography of the Tentative Drafts of the Restatements,"Surrency, Erwin C.",44 Law Libr. J. 11 (1951),Issue 1,article,,1951
Minimum Standards of Judicial Administration,"Vanderbilt, Arthur T.",44 Law Libr. J. 40 (1951),Issue 1,comments,Current Comments,1951
The Editing and Publication of the Year Books of the Reign of Edward III (1327-77),"Rogers, Ralph V.",44 Law Libr. J. 71 (1951),Issue 2,article,,1951
Bibliography of Civil and Commercial Codes,"McLaury, Helen",44 Law Libr. J. 83 (1951),Issue 2,article,,1951
The Education of the Law Librarian,"Frantz, Laurent B.",44 Law Libr. J. 94 (1951),Issue 2,article,,1951
The Reorganization of the John Marshall Law School Library,"Veit, Fritz",44 Law Libr. J. 296 (1951),Issue 4,article,,1951
Codification of the Laws,"Zinn, Charles J.",45 Law Libr. J. 2 (1952),Issue 1,comments,,1952
"Southwestern Legal Center and School of Law Library, Southern Methodist University, Dallas, Texas","Turbeville, Hibernia",45 Law Libr. J. 7 (1952),Issue 1,comments,,1952
A Lawyer's Classification for Law,"Eaton, Thelma",45 Law Libr. J. 9 (1952),Issue 1,article,,1952
Preliminary Drafts of the Restatements,"Surrency, Erwin C.",45 Law Libr. J. 26 (1952),Issue 1,article,,1952
Photo-Clerical Experiment,"Shaw, Ralph S.",45 Law Libr. J. 48 (1952),Issue 1,comments,,1952
An Institute on Law Cataloging,"Carleton, Pauline A.",45 Law Libr. J. 54 (1952),Issue 2,article,,1952
The Mills Memorial Library of the School of Law of New York University,"Marke, Julius J.",45 Law Libr. J. 79 (1952),Issue 2,comments,,1952
Fifteen Years of Chapter Development,"Holt, A. Elizabeth",45 Law Libr. J. 84 (1952),Issue 2,comments,,1952
Preliminary Drafts of the Restatements,"Surrency, Erwin C.",45 Law Libr. J. 96 (1952),Issue 2,misc,,1952
The Publication of Legal Treatises in America from 1800 to 1830,"Wallach, Kate",45 Law Libr. J. 136 (1952),Issue 3,article,,1952
Military Justice,"Latimer, George W.",45 Law Libr. J. 148 (1952),Issue 3,article,,1952
It Started with a Brick,"Gardner, Dillard S.",45 Law Libr. J. 159 (1952),Issue 3,comments,,1952
Gilson G. Glasier,"Riggs, Laurie H.",45 Law Libr. J. 162 (1952),Issue 3,comments,Who's Who in Law Libraries ,1952
The General Interlibrary Loan Code 1952: An Explanation,"Uridge, Margaret D.",46 Law Libr. Jr. 6 (1953),Issue 1,article,,1953
Compensation of Law Library Personnel in 1951,"Roalfe, William R.",46 Law Libr. Jr. 18 (1953),Issue 1,article,,1953
"A Case Like Mine from Georgia, A Note on Legal Research","Gardner, Dillard S.",46 Law Libr. Jr. 21 (1953),Issue 1,article,,1953
The New College of Law Library at the University of New Mexico,"Poldervaart, Arie",46 Law Libr. Jr. 26 (1953),Issue 1,comments,,1953
Law Library--Post Earthquake,"Richards, Else E.",46 Law Libr. Jr. 29 (1953),Issue 1,comments,,1953
Supplement to a Checklist of the Publications of the Sections of the American Bar Association,"Surrency, Erwin C.",46 Law Libr. Jr. 53 (1953),Issue 1,article,,1953
Fundamental Concepts of Law Librarianship,"Elliott, Lucile",46 Law Libr. Jr. 83 (1953),Issue 2,article,,1953
Law Library Administration-A Functional Approach,"Borgeson, Earl C.",46 Law Libr. Jr. 90 (1953),Issue 2,article,,1953
St. George Tucker-A Biographical Sketch,"Kernan, Mary Anne",46 Law Libr. Jr. 98 (1953),Issue 2,article,,1953
Searching Legal Literature-An Appraisal of New Methods,"Biunno, Vincent P.",46 Law Libr. Jr. 110 (1953),Issue 2,article,,1953
Sources of Legal Information in Poland,"Rosada, Stefan;Gwozdz, Jozef",46 Law Libr. Jr. 120 (1953),Issue 2,article,,1953
Conventions and Officers: A Chronicle,"Heckel, John W.",46 Law Libr. Jr. 131 (1953),Issue 2,comments,Comment,1953
Gray's Inn and Its History,"Holden, William",46 Law Libr. Jr. 137 (1953),Issue 2,article,,1953
The Copying of Literary Property in Library Collections,"Smith, Louis Charles",46 Law Libr. Jr. 197 (1953),Issue 3,article,,1953
"The Place of the Law Library: Some Theories, Some Facts and Some Reflections","Davies, Bernita J.",46 Law Libr. Jr. 207 (1953),Issue 3,article,,1953
The Elbert H. Gary Law Library of Northwestern University,"Roalfe, William R.;Schwerin, Kurt",46 Law Libr. Jr. 219 (1953),Issue 3,article,Comments,1953
A Law Librarian's Ten Commandments,"Gardner, Dillard S.",46 Law Libr. Jr. 235 (1953),Issue 3,article,,1953
The Technique of Reading as Applied to Law,"Dahl, Richard C.",47 Law Libr. J. 2 (1954),Issue 1,article,,1954
The Rastells and the Printed English Law Book of the Renaissance,"Graham, Howard Jay",47 Law Libr. J. 6 (1954),Issue 1,article,,1954
The Army's Law Libraries,"Prince, Huberta A.",47 Law Libr. J. 26 (1954),Issue 1,article,,1954
The Law Librarian's Education and the Autonomous Library,"Gallagher, Marian G.",47 Law Libr. J. 114 (1954),Issue 2,article,,1954
A Common Lawyer's French,"Stoljar, Samuel J.",47 Law Libr. J. 119 (1954),Issue 2,article,,1954
Compensation of Law Library Personnel in 1954,"Holt, A. Elizabeth",47 Law Libr. J. 134 (1954),Issue 2,comments,,1954
"John Norton Pomeroy, 1828-1885: A Biographical Sketch","Leary, John C.",47 Law Libr. J. 138 (1954),Issue 2,article,,1954
New Home of the University of Arkansas Law Library,"Treat, Kern L.",47 Law Libr. J. 150 (1954),Issue 2,notes,,1954
Tarlton Library: The Law Library of the University of Texas,"Hargrave, Helen",47 Law Libr. J. 151 (1954),Issue 2,notes,,1954
The New Los Angeles County Law Library Building,"Drummond, Forrest S.",47 Law Libr. J. 155 (1954),Issue 2,comments,,1954
"The Copying of Literary Property in Library Collections, Part II","Smith, Louis Charles",47 Law Libr. J. 204 (1954),Issue 3,article,,1954
A Common Lawyer's French,"Stoljar, Samuel J.",47 Law Libr. J. 209 (1954),Issue 3,article,,1954
Southern Law School Libraries,"Payne, John C.",47 Law Libr. J. 225 (1954),Issue 3,article,,1954
"Statutes of the Forty-Eight States, by Subject: An Annotated Bibliography","Jacobstein, J. Myron",48 Law Libr. J. 40 (1955),Issue 1,index,,1955
Microfacsimiles in Law Libraries,"Moreland, Carroll C.",48 Law Libr. J. 112 (1955),Issue 2,comments,,1955
Joseph Story's Encyclopedia Americana Law Articles,"Hogan, John C.",48 Law Libr. J. 117 (1955),Issue 2,article,,1955
Planning and Building a Basic Book Collection,"Pulling, Arthur",48 Law Libr. J. 136 (1955),Issue 2,comments,,1955
Scientific Materials and the Law,"Gardner, Dillard S.",48 Law Libr. J. 142 (1955),Issue 2,comments,,1955
Cromwell Library American Bar Foundation,"Leary, John C.",48 Law Libr. J. 145 (1955),Issue 2,comments,,1955
Law Books for the Blind,"Andrews, Joseph L.;Stern, William B.",48 Law Libr. J. 150 (1955),Issue 2,comments,,1955
John G. Marvin and the Founding of American Legal Bibliography,"Graham, Howard Jay",48 Law Libr. J. 194 (1955),Issue 3,article,,1955
The Impact of Impending Enrollment Increases upon Legal Education,"Volz, Marlin M.",48 Law Libr. J. 212 (1955),Issue 3,comments,,1955
Compensation of Law Library Personnel in 1955,"Holt, A. Elizabeth",48 Law Libr. J. 219 (1955),Issue 3,article,,1955
The New Boston College Law Building,"Morrison, Stephen G.",48 Law Libr. J. 226 (1955),Issue 3,comments,,1955
Bilali - His Book,"Thornton, Ella May",48 Law Libr. J. 228 (1955),Issue 3,comments,,1955
Some Writings of Max Radin of General Legal Interest,"Kidd, Alexander Marsden",48 Law Libr. J. 230 (1955),Issue 3,article,,1955
The Law Librarians' Institute,"Burke, Redmond A.",48 Law Libr. J. 284 (1955),Issue 4,comments,,1955
Let George Do It,"Schwartz, Mortimer",48 Law Libr. J. 414 (1955),Issue 4,comments,,1955
Opinions of Justices Sitting in Chambers,"Wiener, Frederick Bernays",49 Law Libr. J. 2 (1956),Issue 1,comments,,1956
Preparing Your Manuscript for the Printer,"Stith, Mary E.",49 Law Libr. J. 10 (1956),Issue 1,article,,1956
Subject Classification in Law Libraries - A Survey-1955,"Jennett, Charlotte",49 Law Libr. J. 17 (1956),Issue 1,misc,,1956
Fraud and Deceit,"Coleman, Marjorie S.",49 Law Libr. J. 21 (1956),Issue 1,comments,,1956
"The Library of the Institute of Advanced Legal Studies, London","Moys, Elizabeth M.",49 Law Libr. J. 23 (1956),Issue 1,article,,1956
The Law Library of Baylor University,"Dale, Charles E.",49 Law Libr. J. 31 (1956),Issue 1,misc,,1956
The New Law Library Building at the University of Illinois,"Davies, Bernita J.",49 Law Libr. J. 34 (1956),Issue 1,misc,,1956
"Golden Jubilee Issue, The ","Gardner, Dillard S.",49 Law Libr. J. 81 (1956),Issue 2,comments,,1956
"History of the American Association of Law Libraries, The Founders and the Early Years, 1906-1929","Glasier, Gilson G.",49 Law Libr. J. 82 (1956),Issue 2,article,,1956
"History of the American Association of Law Libraries, the Roalfe Plan and the Middle Years, 1930-1942","Newman, Helen",49 Law Libr. J. 105 (1956),Issue 2,article,,1956
"History of the American Association of Law Libraries Up Until Now, 1943-1955","MacDonald, Harrison M.",49 Law Libr. J. 118 (1956),Issue 2,article,,1956
Relations of the American Association of Law Libraries with Other Professional Organizations,"Roalfe, William R.",49 Law Libr. J. 128 (1956),Issue 2,article,,1956
Our Predecessors and Their Achievements,"Johnston, George A.",49 Law Libr. J. 138 (1956),Issue 2,article,,1956
The History of the Index to Legal Periodicals,"Drummond, Forrest S.",49 Law Libr. J. 148 (1956),Issue 2,article,,1956
A History of the Law Library Journal,"Davies, Bernita J.",49 Law Libr. J. 157 (1956),Issue 2,article,,1956
Institutes from the Point of View of a Director,"Price, Miles O.",49 Law Libr. J. 168 (1956),Issue 2,article,,1956
Institutes from the Point of View of the Student,"Burton, Riley Paul;Rider, Priscilla L.",49 Law Libr. J. 175 (1956),Issue 2,article,,1956
"History of the Carolina-South Eastern Chapter, 1937-1955","Leverette, Sarah;Elliott, Lucile",49 Law Libr. J. 180 (1956),Issue 2,article,,1956
The Law Library Association of Greater New York (LLAGNY) 1938-1956,"Marke, Julius J.",49 Law Libr. J. 186 (1956),Issue 2,comments,,1956
"The Law Librarians' Society of Washington, D.C., 1939-1955","Rothe, Bertha M.",49 Law Libr. J. 191 (1956),Issue 2,comments,,1956
"Law Librarians of New England, 1946-1955","Peterson, Lois",49 Law Libr. J. 198 (1956),Issue 2,comments,,1956
"The Chicago Association of Law Libraries, 1947-1955","Di Canio, Frank",49 Law Libr. J. 204 (1956),Issue 2,comments,,1956
"The Southern California Association of Law Libraries, 1952-1955","Armstrong, Charles W.",49 Law Libr. J. 209 (1956),Issue 2,comments,,1956
"The Minnesota Chapter, American Association of Law Libraries","Andrews, Margaret S.",49 Law Libr. J. 211 (1956),Issue 2,comments,,1956
Publications of Members of the American Association of Law Libraries - a Selected List through 1955,"Gallagher, Marian G.",49 Law Libr. J. 213 (1956),Issue 2,index,,1956
"American Association of Law Libraries: Charter Members, Officers and Meeting Places, 1906-1956","Heckel, John W.",49 Law Libr. J. 225 (1956),Issue 2,misc,,1956
Constitution of the American Association of Law Libraries,"French, Harriet L.",49 Law Libr. J. 232 (1956),Issue 2,notes,Note,1956
What Price Law Librarians,"Holt, A. Elizabeth",49 Law Libr. J. 240 (1956),Issue 3,comments,,1956
The Legal Collections of the United Nations Library,"Heuline, Simone",49 Law Libr. J. 244 (1956),Issue 3,comments,,1956
Classification in Law Libraries,"Kenyon, Carleton W.",49 Law Libr. J. 250 (1956),Issue 3,article,,1956
Most Distinct and Lively Pictures,"Mueller, Gerhard O. W.",49 Law Libr. J. 256 (1956),Issue 3,article,,1956
Unsigned Article on Corpus Delicti in the First Edition of the Encyclopedia Americana,"Hogan, John C.",49 Law Libr. J. 263 (1956),Issue 3,article,,1956
Trials: Paper Bound Originals,"Smith, Vernon M.",49 Law Libr. J. 267 (1956),Issue 3,index,,1956
Second Supplement to a Checklist of the Publications of the Sections of the American Bar Association,"Surrency, Erwin C.",49 Law Libr. J. 268 (1956),Issue 3,notes,Note,1956
Be Those That Multiply the Commonweale,"Graham, Howard Jay",49 Law Libr. J. 363 (1956),Issue 4,article,,1956
The Harvard Law Library and Some Account of Its Growth,"Arnold, John H.",5 Law Libr. J. 17 (1912-1913),Issues 2 & 3,article,,1912
Stumbling Blocks and Pitfalls in Session Laws,"Babbitt, Charles J.",5 Law Libr. J. 25 (1912-1913),Issues 2 & 3,article,,1912
Library School Training for Law Library Employees,"Kaiser, John Boynton",5 Law Libr. J. 52 (1912-1913),Issues 2 & 3,article,,1912
The Legal Systems of Canada,"Walton, F. P.",5 Law Libr. J. 55 (1912-1913),Issue 4,article,,1912
Centralized University Library Service and the Law School,"Roalfe, William R.",50 Law Libr. J. 2 (1957),Issue 1,comments,,1957
Weeding a Law Collection,"Surrency, Erwin C.",50 Law Libr. J. 6 (1957),Issue 1,comments,,1957
The Future of the Law Library,"Wienpahl, Robert W.",50 Law Libr. J. 10 (1957),Issue 1,article,,1957
Baron de Hirsch Meyer Buildings: University of Miami,"French, Harriet L.",50 Law Libr. J. 18 (1957),Issue 1,comments,,1957
Frederick C. Hicks: Scholar-Librarian,"Roalfe, William R.",50 Law Libr. J. 88 (1957),Issue 2,article,,1957
Success through Speech,"Winbigler, Gordon W.",50 Law Libr. J. 99 (1957),Issue 2,comments,,1957
Indexing Law Books,"Glen, Judson B.",50 Law Libr. J. 104 (1957),Issue 2,article,,1957
The Libraries of the Department of Justice,"Bitner, Harry",50 Law Libr. J. 112 (1957),Issue 2,comments,,1957
Friends of the Library--in the Law Library,"Blaustein, Albert P.",50 Law Libr. J. 120 (1957),Issue 2,article,,1957
Dividing and Conquering the Card Catalog at Oklahoma,"Schwartz, Mortimer",50 Law Libr. J. 129 (1957),Issue 2,article,,1957
Budgets Need Supporting Data,"Engle, Virginia E.",50 Law Libr. J. 186 (1957),Issue 3,article,,1957
The Therapy of Humor in the Practice of Law,"Swain, Frank G.",50 Law Libr. J. 200 (1957),Issue 3,comments,,1957
The Many-Faceted Institute of Judicial Administration,"Klein, Fannie J.",50 Law Libr. J. 202 (1957),Issue 3,article,,1957
A Law Building for Indiana University,"LeBus, Betty Virginia",50 Law Libr. J. 213 (1957),Issue 3,comments,,1957
Introductory Statement,"Poldervaart, Arie",50 Law Libr. J. 456 (1957),Issue 5,comments,,1957
Introduction to Library Science with Practical Problems,"Gallagher, Marian G.",50 Law Libr. J. 457 (1957),Issue 5,article,,1957
The Law Library Staff Manual,"Coonan, Margaret E.",50 Law Libr. J. 475 (1957),Issue 5,article,,1957
The Law Librarian and Personnel Administration,"Keene, C. Mansel",50 Law Libr. J. 493 (1957),Issue 5,comments,,1957
